"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"노인통합지원센터","A4189","(노인) 재가노인복지시설","재가노인복지시설","자치구","양재석","1168000000","강남구","서울특별시 강남구 봉은사로24길 70"
"시립강동노인복지관데이케어센터","A4272","(노인) 재가노인복지시설","재가노인복지시설","자치구","성미선","1174000000","강동구","서울특별시 강동구 명일2동 48-1032-5"
"동대문노인종합복지관병설주간보호센터","A4284","(노인) 재가노인복지시설","재가노인복지시설","자치구","민경원","1123000000","동대문구","서울특별시 동대문구 제기로33길25"
"구립여의도원광데이케어센터","A4344","(노인) 재가노인복지시설","재가노인복지시설","자치구","양귀자","1156000000","영등포구","서울특별시 영등포구 여의대방로68길 15영창빌딩 3층"
"강서노인복지관데이케어센터","A4373","(노인) 재가노인복지시설","재가노인복지시설","자치구","임무영","1150000000","강서구","서울특별시 강서구 화곡로61길 85"
"성모노인복지센터","A4583","(노인) 재가노인복지시설","재가노인복지시설","자치구","최옥란","1165000000","서초구","서울특별시 서초구 도구로 58-1(방배동 969-5)"
"효노인복지센터","A4584","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽현숙","1130500000","강북구","서울특별시 강북구 오현로 194덕수빌딩 2층 (번동)"
"강북노인복지센터","A4604","(노인) 재가노인복지시설","재가노인복지시설","자치구","박용권","1130500000","강북구","서울특별시 강북구 도봉로67길 48-6(미아동)"
"참사랑노인요양센터","A4783","(노인) 재가노인복지시설","재가노인복지시설","자치구","고정숙","1130500000","강북구","서울특별시 강북구 오현로 326층 (청우빌딩 미아동)"
"아차산노인복지센터","A4801","(노인) 재가노인복지시설","재가노인복지시설","자치구","박정섭","1121500000","광진구","서울특별시 광진구 긴고랑로 164 (중곡동)"
"수실버간호센터","A4841","(노인) 재가노인복지시설","재가노인복지시설","자치구","이천우","1171000000","송파구","서울특별시 송파구 성내천로 21234층"
"노원실버데이케어센터","A4848","(노인) 재가노인복지시설","재가노인복지시설","자치구","이수남","1135000000","노원구","서울특별시 노원구 동일로 1097(공릉 1동)"
"시립강북노인종합복지관병설강북노인주간보호센터","A4874","(노인) 재가노인복지시설","재가노인복지시설","자치구","김민숙","1130500000","강북구","서울특별시 강북구 삼양로92길 40 (수유동)"
"구립서대문데이케어센터","A4930","(노인) 재가노인복지시설","재가노인복지시설","자치구","김희철","1141000000","서대문구","서울특별시 서대문구 홍지문2길 59-0(홍은동)"
"신목행복자리데이케어센터","A4963","(노인) 재가노인복지시설","재가노인복지시설","자치구","김광제","1147000000","양천구","서울특별시 양천구 신목로 10별관 1층"
"구립역삼데이케어센터","A5002","(노인) 재가노인복지시설","재가노인복지시설","자치구","임상백","1168000000","강남구","서울특별시 강남구 도곡로27길 27(역삼동)"
"우리모두재가노인지원센터","A5003","(노인) 재가노인복지시설","재가노인복지시설","자치구","권양희","1111000000","종로구","서울특별시 종로구 지봉로12나길 1-0B02"
"열린재가노인지원서비스센터","A5012","(노인) 재가노인복지시설","재가노인복지시설","자치구","김창현","1121500000","광진구","서울특별시 광진구 용마산로 8금광빌딩 4층"
"명화데이케어센터","A5024","(노인) 재가노인복지시설","재가노인복지시설","자치구","정천모","1168000000","강남구","서울특별시 강남구 광평로51길 49-01층 명화데이케어센터"
"구립양천데이케어센터","A5052","(노인) 재가노인복지시설","재가노인복지시설","자치구","민경욱","1147000000","양천구","서울특별시 양천구 신월로 26-026(신정동)"
"종로데이케어센터","A5081","(노인) 재가노인복지시설","재가노인복지시설","자치구","이재원","1111000000","종로구","서울특별시 종로구 지봉로13길 82 (창신동)"
"영등포재가노인복지센터","A5114","(노인) 재가노인복지시설","재가노인복지시설","자치구","이문노","1156000000","영등포구","서울특별시 영등포구 대림로 884층 (대림동)"
"본마을데이케어센터","A5234","(노인) 재가노인복지시설","재가노인복지시설","자치구","이정연","1165000000","서초구","서울특별시 서초구 본마을2길 2(신원동 446)"
"소망데이케어센터","A5249","(노인) 재가노인복지시설","재가노인복지시설","자치구","임창복","1153000000","구로구","서울특별시 구로구 서해안로 2295익준빌딩 4층"
"도봉실버데이케어센터","A5265","(노인) 재가노인복지시설","재가노인복지시설","자치구","문정민","1132000000","도봉구","서울특별시 도봉구 시루봉로 133(방학동)"
"강서구립봉제산데이케어센터","A5282","(노인) 재가노인복지시설","재가노인복지시설","자치구","서순애","1150000000","강서구","서울특별시 강서구 초록마을로15길 12"
"사단법인한국씨니어연합동작재가노인지원센터","A5440","(노인) 재가노인복지시설","재가노인복지시설","자치구","성미경","1159000000","동작구","서울특별시 동작구 동작대로7길 363층 (사당동)"
"주사랑단기보호센터","A5508","(노인) 재가노인복지시설","재가노인복지시설","자치구","박신광","1135000000","노원구","서울특별시 노원구 광운로 48월계빌딩 2층"
"진각재가노인지원센터","A5532","(노인) 재가노인복지시설","재가노인복지시설","자치구","홍희자","1129000000","성북구","서울특별시 성북구 화랑로 21-0서주빌딩 5층"
"인덕재가노인복지센터","A5549","(노인) 재가노인복지시설","재가노인복지시설","자치구","김용주","1138000000","은평구","서울특별시 은평구 연서로 48길 41"
"인덕데이케어센터","A5551","(노인) 재가노인복지시설","재가노인복지시설","자치구","김수년","1138000000","은평구","서울특별시 은평구 연서로48길 41"
"중구재가노인지원센터","A5556","(노인) 재가노인복지시설","재가노인복지시설","자치구","김정애","1114000000","중구","서울특별시 중구 퇴계로88길 37(신당5동)"
"영화데이케어센터","A5610","(노인) 재가노인복지시설","재가노인복지시설","자치구","김영숙","1121500000","광진구","서울특별시 광진구 동일로 322양지빌딩 5층"
"연희데이케어센터","A5630","(노인) 재가노인복지시설","재가노인복지시설","자치구","한기숙","1141000000","서대문구","서울특별시 서대문구 성산로 271(연희동)"
"동대문노인종합복지관부설구립명성데이케어센터","A5701","(노인) 재가노인복지시설","재가노인복지시설","자치구","신미화","1123000000","동대문구","서울특별시 동대문구 무학로28길 22-2(용신동)"
"상록재가노인지원센터","A5801","(노인) 재가노인복지시설","재가노인복지시설","자치구","김선옥","1162000000","관악구","서울특별시 관악구 남현길 63(남현동)"
"민들레데이케어센터","A5813","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성희","1171000000","송파구","서울특별시 송파구 성내천로 193"
"강동구립해공데이케어센터","A5817","(노인) 재가노인복지시설","재가노인복지시설","자치구","전아미","1174000000","강동구","서울특별시 강동구 천중로17길 42-16(천호2동)"
"신명데이케어센터","A5823","(노인) 재가노인복지시설","재가노인복지시설","자치구","이선자","1138000000","은평구","서울특별시 은평구 증산로15길 47(신사2동)"
"구립재영데이케어센터","A5865","(노인) 재가노인복지시설","재가노인복지시설","자치구","장미희","1159000000","동작구","서울특별시 동작구 노량진로6다길 26재영교회 (노량진동)"
"보현데이케어센터","A5868","(노인) 재가노인복지시설","재가노인복지시설","자치구","양유진","1111000000","종로구","서울특별시 종로구 평창4길 21-22(평창동)"
"수호데이케어센터","A5914","(노인) 재가노인복지시설","재가노인복지시설","자치구","박홍래","1162000000","관악구","서울특별시 관악구 인헌길 161-9(인헌동)"
"서초노인주간보호센터","A5933","(노인) 재가노인복지시설","재가노인복지시설","자치구","전경아","1165000000","서초구","서울특별시 서초구 강남대로30길 73-7(양재동 7-44)"
"구립화원데이케어센터","A6074","(노인) 재가노인복지시설","재가노인복지시설","자치구","고명숙","1153000000","구로구","서울특별시 구로구 벚꽃로 484화원종합사회복지관 2층"
"(사)굿하트전문사례관리강동재가센터","A6163","(노인) 재가노인복지시설","재가노인복지시설","자치구","김혜영","1174000000","강동구","서울특별시 강동구 천호대로198길 8 (둔촌동)"
"(사)굿하트전문사례관리동작재가센터","A6173","(노인) 재가노인복지시설","재가노인복지시설","자치구","배영준","1159000000","동작구","서울특별시 동작구 양녕로28길 41"
"아현실버데이케어센터","A6358","(노인) 재가노인복지시설","재가노인복지시설","자치구","오명숙","1144000000","마포구","서울특별시 마포구 환일길 3(공덕동)"
"역촌데이케어센터","A6401","(노인) 재가노인복지시설","재가노인복지시설","자치구","차화석","1138000000","은평구","서울특별시 은평구 연서로3나길 11-303층 (역촌동)"
"구립대치데이케어센터","A6437","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은경","1168000000","강남구","서울특별시 강남구 역삼로69길 22(대치동)"
"중앙소규모요양시설나형","A6540","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성순","1141000000","서대문구","서울특별시 서대문구 서소문로 43-49"
"흑석데이케어센터","A6616","(노인) 재가노인복지시설","재가노인복지시설","자치구","양문희","1159000000","동작구","서울특별시 동작구 흑석한강로 13-0서울남부교회 3층"
"굿하트 금천재가노인지원센터","A6676","(노인) 재가노인복지시설","재가노인복지시설","자치구","김정미","1154500000","금천구","서울특별시 금천구 시흥대로 399-0시티렉스 314호"
"마포노인복지센터(데이케어센터)","A6761","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은정","1144000000","마포구","서울특별시 마포구 만리재옛12길 6-2(공덕동)"
"우영가정봉사원파견센터재가노인복지센터","A6797","(노인) 재가노인복지시설","재가노인복지시설","자치구","문연실","1111000000","종로구","서울특별시 종로구 김상옥로 18-5"
"구립성수1가2동서울숲데이케어센터","A6820","(노인) 재가노인복지시설","재가노인복지시설","자치구","박필선","1120000000","성동구","서울특별시 성동구 왕십리로5길 3성수1가제2동 공공복합청사 3층 (성수동1가)"
"서초어르신행복e음센터","A7032","(노인) 재가노인복지시설","재가노인복지시설","자치구","하백선","1165000000","서초구","서울특별시 서초구 방배중앙로 159-62층(방배본동 778-16)"
"(구립)마포어르신돌봄통합센터","A7060","(노인) 재가노인복지시설","재가노인복지시설","자치구","박도식","1144000000","마포구","서울특별시 마포구 토정로 148-142층"
"노원구어르신돌봄지원센터","A7094","(노인) 재가노인복지시설","재가노인복지시설","자치구","김춘숙","1135000000","노원구","서울특별시 노원구 상계로23길 17원터행복발전소 3층 (상계동)"
"행복한세상복지센터","A7104","(노인) 재가노인복지시설","재가노인복지시설","자치구","이우상","1174000000","강동구","서울특별시 강동구 구천면로57길 241층 (암사동)"
"구로어르신돌봄통합센터","A7117","(노인) 재가노인복지시설","재가노인복지시설","자치구","우진수","1153000000","구로구","서울특별시 구로구 디지털로27다길 65지하1층 (구로동)"
"맑은샘단기보호센터","A7168","(노인) 재가노인복지시설","재가노인복지시설","자치구","이명금","1123000000","동대문구","서울특별시 동대문구 한천로37길19 2층 (답십리동 창승빌딩 A동)"
"면목요양원","A7201","(노인) 재가노인복지시설","재가노인복지시설","자치구","김미옥","1126000000","중랑구","서울특별시 중랑구 상봉로61 (면목동)"
"은평어르신돌봄통합지원센터","A7277","(노인) 재가노인복지시설","재가노인복지시설","자치구","마정욱","1138000000","은평구","서울특별시 은평구 연서로13길 29-73층 (구산동 은평어르신돌봄통합지원센터)"
"동행데이케어센터","A7290","(노인) 재가노인복지시설","재가노인복지시설","자치구","고상진","1129000000","성북구","서울특별시 성북구 오패산로1길1 2층 (하월곡동)"
"샬렘재가노인복지센터","A7353","(노인) 재가노인복지시설","재가노인복지시설","자치구","한경순","1144000000","마포구","서울특별시 마포구 서강로1길12-9 (창전동 6 7층)"
"왕십리도선동노인복지센터병설데이케어센터","A7358","(노인) 재가노인복지시설","재가노인복지시설","자치구","김남용","1120000000","성동구","서울특별시 성동구 마장로141 (상왕십리동)"
"참조은재가복지센타","A7362","(노인) 재가노인복지시설","재가노인복지시설","자치구","김복자","1135000000","노원구","서울특별시 노원구 월계로55길3 (월계동 사슴아파트3단지 상가 202호)"
"구산데이케어센터","A7380","(노인) 재가노인복지시설","재가노인복지시설","자치구","박미희","1138000000","은평구","서울특별시 은평구 연서로13길 29-7구산보건지소 4층"
"양원사랑데이케어센터","A7458","(노인) 재가노인복지시설","재가노인복지시설","자치구","신상하","1126000000","중랑구","서울특별시 중랑구 양원역로16길103-31 (망우동)"
"구립북가좌데이케어센터","A7593","(노인) 재가노인복지시설","재가노인복지시설","자치구","손남식","1141000000","서대문구","서울특별시 서대문구 증가로20길43 (북가좌동)"
"동소문데이케어센터","A7596","(노인) 재가노인복지시설","재가노인복지시설","자치구","김선애","1129000000","성북구","서울특별시 성북구 동소문로11길18 101호 (동소문동4가 삼총사타운)"
"미소들주야간보호센터","A7598","(노인) 재가노인복지시설","재가노인복지시설","자치구","김금자","1153000000","구로구","서울특별시 구로구 고척로21나길88-41 (개봉동)"
"광진어르신복지센터","A7673","(노인) 재가노인복지시설","재가노인복지시설","자치구","오병지","1121500000","광진구","서울특별시 광진구 자양로 51길 11-25"
"청운데이케어센터","A7738","(노인) 재가노인복지시설","재가노인복지시설","자치구","손창숙","1159000000","동작구","서울특별시 동작구 국사봉1길 145청운노인복지센터 6층"
"평화행복한데이케어센터","A7770","(노인) 재가노인복지시설","재가노인복지시설","자치구","장재섭","1135000000","노원구","서울특별시 노원구 중계3동 514-3(중계 2 3동)"
"시립중계노인전문요양원병설데이케어센터","A7837","(노인) 재가노인복지시설","재가노인복지시설","자치구","양길승","1135000000","노원구","서울특별시 노원구 섬밭로 313 시립중계노인전문요양원 병설 데이케어센터(중계동)"
"송파버들데이케어센터","A7893","(노인) 재가노인복지시설","재가노인복지시설","자치구","박왕호","1171000000","송파구","서울특별시 송파구 충민로 184"
"강동구립쉼터데이케어센터","A7954","(노인) 재가노인복지시설","재가노인복지시설","자치구","이미라","1174000000","강동구","서울특별시 강동구 올림픽로89길 27-23(천호2동)"
"길음안나데이케어센터","A8009","(노인) 재가노인복지시설","재가노인복지시설","자치구","이도영","1129000000","성북구","서울특별시 성북구 길음로9길 46(길음1동) (정릉동)"
"대길홈케어센터","A8011","(노인) 재가노인복지시설","재가노인복지시설","자치구","서정숙","1156000000","영등포구","서울특별시 영등포구 영등포로 84길 24-143층 (신길동 대길사회복지재단)"
"정릉데이케어센터","A8036","(노인) 재가노인복지시설","재가노인복지시설","자치구","김병래","1129000000","성북구","서울특별시 성북구 솔샘로 8(정릉2동)"
"상도데이케어센터","A8148","(노인) 재가노인복지시설","재가노인복지시설","자치구","문순희","1159000000","동작구","서울특별시 동작구 상도로39가길 7-0(상도1동)"
"망원데이케어센터","A8198","(노인) 재가노인복지시설","재가노인복지시설","자치구","이남순","1144000000","마포구","서울특별시 마포구 월드컵로11길 61(망원동)"
"구립영등포노인케어센터 병설 엘림데이케어센터","A8203","(노인) 재가노인복지시설","재가노인복지시설","자치구","이지은","1156000000","영등포구","서울특별시 영등포구 도림로 482구립영등포노인케어센터 1층 (문래동3가)"
"중화데이케어센터","A8474","(노인) 재가노인복지시설","재가노인복지시설","자치구","김형기","1126000000","중랑구","서울특별시 중랑구 동일로138길 28(중화동)"
"보사노인복지센터(데이케어)","A8603","(노인) 재가노인복지시설","재가노인복지시설","자치구","김진선","1144000000","마포구","서울특별시 마포구 동교로 132-3"
"다솜장기요양센터","A8693","(노인) 재가노인복지시설","재가노인복지시설","자치구","유나래","1132000000","도봉구","서울특별시 도봉구 해등로 337-12 (쌍문동)"
"창전데이케어센터","A8872","(노인) 재가노인복지시설","재가노인복지시설","자치구","차정철","1144000000","마포구","서울특별시 마포구 서강로1길 30-04층"
"사랑나눔노인복지센터","A8896","(노인) 재가노인복지시설","재가노인복지시설","자치구","손효정","1153000000","구로구","서울특별시 구로구 구로동로 241"
"강남논현데이케어센터","A8948","(노인) 재가노인복지시설","재가노인복지시설","자치구","박보리","1168000000","강남구","서울특별시 강남구 논현로136길 5-8(논현2동)"
"서울시니어스타워(주)","A9021","(노인) 재가노인복지시설","재가노인복지시설","자치구","김영재","1150000000","강서구","서울특별시 강서구 화곡로68길 102"
"희망주야간보호센터","A9042","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤정숙","1153000000","구로구","서울특별시 구로구 중앙로 79-0꿈의교육관 2층"
"남부데이케어센터","A9057","(노인) 재가노인복지시설","재가노인복지시설","자치구","이우영","1162000000","관악구","서울특별시 관악구 조원로 166-1대신빌딩 1층(신림동)"
"역삼재가노인데이케어센터","A9059","(노인) 재가노인복지시설","재가노인복지시설","자치구","전희진","1168000000","강남구","서울특별시 강남구 언주로70길 18(역삼동)"
"우리집데이케어센터","A9061","(노인) 재가노인복지시설","재가노인복지시설","자치구","김봉순","1156000000","영등포구","서울특별시 영등포구 디지털로 398 (대림동)3층"
"구립용산노인데이케어센터","A9074","(노인) 재가노인복지시설","재가노인복지시설","자치구","김신희","1117000000","용산구","서울특별시 용산구 효창원로93길 51"
"옥수재가노인지원센터","A9103","(노인) 재가노인복지시설","재가노인복지시설","자치구","권기현","1120000000","성동구","서울특별시 성동구 한림말길 16-5(옥수동)"
